,GT,Predict
314,1.0,3.046
315,1.0,3.006
316,3.0,3.084
317,2.0,3.055
318,3.0,3.027
319,4.0,3.045
320,2.0,3.045
321,4.0,3.085
322,4.0,3.101
323,4.0,3.116
324,1.0,3.036
325,3.0,3.093
326,4.0,3.087
327,4.0,3.056
328,4.0,3.059
329,3.0,3.096
330,4.0,3.044
331,5.0,3.036
332,4.0,3.12
333,3.0,3.046
334,4.0,3.049
335,4.0,3.027
336,2.0,3.11
337,3.0,3.055
338,3.0,3.014
339,5.0,3.019
340,3.0,3.073
341,5.0,3.051
342,5.0,3.013
343,3.0,3.04
344,3.0,3.039
345,4.0,3.08
346,1.0,3.091
347,5.0,3.122
348,3.0,3.055
349,5.0,2.968
350,4.0,3.091
351,4.0,3.091
352,4.0,3.048
353,3.0,3.045
354,5.0,3.087
355,2.0,3.066
356,3.0,3.023
357,5.0,3.011
358,2.0,3.077
359,5.0,3.05
360,5.0,3.043
361,3.0,3.044
362,5.0,3.092
363,4.0,3.107
364,3.0,3.08
365,5.0,3.041
366,5.0,3.103
367,3.0,3.087
368,3.0,3.059
369,2.0,3.037
370,3.0,3.077
371,3.0,3.054
372,3.0,3.06
373,1.0,3.098
374,5.0,3.07
375,4.0,3.016
376,1.0,3.07
377,3.0,3.089
378,1.0,3.076
379,2.0,3.088
380,5.0,3.108
381,1.0,3.072
382,5.0,3.1
383,4.0,3.109
384,4.0,3.078
385,2.0,3.042
386,3.0,2.969
387,4.0,3.084
388,3.0,2.935
389,5.0,3.1
390,3.0,3.027
391,3.0,3.045
392,3.0,3.067
393,4.0,3.116
394,5.0,3.036
395,4.0,3.064
396,4.0,3.027
397,3.0,3.11
398,3.0,3.055
399,3.0,3.019
400,5.0,3.033
401,4.0,3.051
402,5.0,3.049
403,2.0,3.065
404,5.0,3.091
405,4.0,3.077
406,5.0,3.071
407,3.0,3.044
408,4.0,3.048
409,5.0,3.069
410,4.0,3.055
411,3.0,2.968
412,5.0,3.049
413,3.0,3.05
414,3.0,3.066
415,4.0,3.067
416,4.0,3.068
417,5.0,3.061
418,3.0,3.091
419,4.0,3.062
420,3.0,3.087
421,3.0,3.032
422,4.0,3.07
423,4.0,3.081
424,2.0,3.054
425,4.0,3.061
426,4.0,3.087
427,5.0,3.005
428,4.0,3.078
429,3.0,3.094
430,3.0,3.092
431,5.0,3.032
432,4.0,3.067
433,4.0,3.005
434,4.0,3.072
435,2.0,3.065
436,5.0,3.114
437,4.0,3.039
438,5.0,3.049
439,4.0,3.083
440,2.0,3.125
441,4.0,3.002
442,5.0,3.047
443,4.0,3.07
444,3.0,3.085
445,3.0,3.046
446,3.0,3.017
447,4.0,3.049
448,4.0,3.031
449,5.0,3.084
450,3.0,3.107
451,3.0,3.077
452,2.0,3.1
453,5.0,3.027
454,5.0,3.059
455,3.0,3.045
456,4.0,3.091
457,3.0,3.085
458,3.0,3.044
459,3.0,3.033
460,3.0,3.064
461,4.0,3.056
462,3.0,3.044
463,5.0,3.12
464,4.0,3.046
465,5.0,3.027
466,1.0,3.11
467,4.0,3.024
468,3.0,3.021
469,5.0,3.028
470,2.0,3.085
471,2.0,3.088
472,4.0,3.091
473,4.0,3.04
474,4.0,3.033
475,1.0,3.076
476,3.0,3.108
477,4.0,3.077
478,3.0,3.054
479,3.0,3.071
480,2.0,3.046
481,4.0,3.064
482,3.0,3.081
483,4.0,3.084
484,4.0,2.935
485,2.0,3.107
486,2.0,3.077
487,5.0,3.059
488,1.0,3.1
489,4.0,3.027
490,5.0,3.059
491,3.0,3.06
492,4.0,3.045
493,4.0,3.045
494,4.0,3.091
495,4.0,3.067
496,4.0,3.085
497,2.0,3.101
498,4.0,3.116
499,5.0,3.036
500,2.0,2.972
501,3.0,3.044
502,4.0,3.033
503,3.0,3.093
504,3.0,3.064
505,1.0,3.057
506,3.0,3.052
507,5.0,3.072
508,1.0,3.056
509,4.0,3.014
510,4.0,3.059
511,3.0,3.051
512,3.0,3.044
513,5.0,3.11
514,4.0,3.049
515,5.0,3.051
516,4.0,3.014
517,3.0,3.086
518,5.0,3.019
519,4.0,3.04
520,3.0,3.083
521,5.0,3.073
522,5.0,3.033
523,5.0,3.051
524,5.0,3.013
525,5.0,3.049
526,5.0,3.061
527,4.0,3.01
528,5.0,3.065
529,4.0,3.068
530,4.0,3.04
531,3.0,3.039
532,5.0,3.131
533,4.0,3.011
534,4.0,3.085
535,4.0,3.036
536,4.0,3.091
537,4.0,3.122
538,3.0,3.073
539,4.0,3.005
540,4.0,3.06
541,4.0,2.992
542,1.0,3.044
543,4.0,3.048
544,5.0,3.062
545,4.0,3.051
546,4.0,3.069
547,5.0,3.055
548,5.0,2.968
549,2.0,3.091
550,5.0,3.049
551,5.0,3.05
552,4.0,3.066
553,5.0,3.067
554,3.0,3.029
555,4.0,3.102
556,5.0,3.091
557,4.0,3.086
558,4.0,3.073
559,5.0,3.099
560,1.0,3.076
561,5.0,3.068
562,4.0,3.049
563,3.0,3.064
564,3.0,3.076
565,4.0,3.021
566,3.0,3.06
567,2.0,3.029
568,5.0,3.061
569,5.0,3.015
570,4.0,3.069
571,2.0,3.065
572,1.0,3.021
573,4.0,3.05
574,1.0,3.088
575,4.0,3.091
576,3.0,3.003
577,5.0,3.028
578,5.0,3.117
579,3.0,3.04
580,5.0,3.123
581,4.0,3.048
582,3.0,3.033
583,3.0,3.045
584,4.0,3.085
585,5.0,3.07
586,5.0,3.081
587,5.0,3.054
588,5.0,3.061
589,4.0,3.055
590,5.0,3.005
591,4.0,3.066
592,3.0,3.023
593,5.0,3.078
594,5.0,3.011
595,2.0,3.077
596,4.0,3.1
597,4.0,3.066
598,5.0,3.05
599,2.0,3.037
600,5.0,3.075
601,4.0,3.043
602,4.0,3.094
603,3.0,3.01
604,5.0,3.092
605,5.0,3.036
606,5.0,3.053
607,3.0,3.063
608,3.0,3.107
609,5.0,3.076
610,2.0,3.108
611,4.0,3.099
612,5.0,3.103
613,5.0,3.1
614,3.0,3.085
615,3.0,3.067
616,1.0,3.059
617,1.0,3.037
618,2.0,3.077
619,2.0,3.06
620,2.0,3.098
621,3.0,3.016
622,3.0,3.07
623,3.0,3.089
624,5.0,3.076
625,2.0,3.088
626,4.0,3.108
627,4.0,3.072
628,5.0,3.1
629,2.0,3.109
630,5.0,3.065
631,4.0,3.114
632,2.0,3.039
633,5.0,3.049
634,3.0,3.125
635,5.0,3.002
636,5.0,3.047
637,5.0,3.07
638,5.0,3.085
639,4.0,3.046
640,4.0,3.017
641,5.0,3.049
642,4.0,3.064
643,3.0,3.079
644,5.0,3.082
645,1.0,3.078
646,5.0,3.062
647,2.0,3.054
648,1.0,3.038
649,2.0,3.028
650,4.0,3.06
651,3.0,3.058
652,4.0,3.087
653,4.0,3.082
654,4.0,3.058
655,2.0,3.045
656,1.0,3.067
657,3.0,3.081
658,5.0,3.061
659,2.0,3.084
660,4.0,3.036
661,4.0,3.06
662,2.0,3.057
663,4.0,3.022
664,4.0,3.033
665,4.0,3.096
666,4.0,3.111
667,4.0,3.033
668,2.0,3.081
669,3.0,3.062
670,4.0,3.026
671,5.0,3.069
672,3.0,3.087
673,3.0,3.04
674,4.0,3.091
675,5.0,3.089
676,4.0,3.076
677,2.0,2.981
678,2.0,3.092
679,4.0,3.104
680,3.0,3.058
681,5.0,3.07
682,4.0,3.067
683,3.0,3.041
684,3.0,3.068
685,2.0,3.039
686,4.0,3.102
687,2.0,3.123
688,3.0,3.073
689,1.0,3.063
690,1.0,3.054
691,4.0,3.055
692,1.0,3.04
693,1.0,3.009
694,3.0,3.081
695,1.0,3.054
696,1.0,3.072
697,1.0,3.037
698,3.0,3.025
699,2.0,3.069
700,2.0,3.055
701,2.0,3.084
702,2.0,3.107
703,2.0,3.077
704,3.0,3.1
705,2.0,3.055
706,4.0,3.027
707,5.0,3.059
708,2.0,3.045
709,4.0,3.091
710,3.0,3.085
711,1.0,3.041
712,1.0,2.972
713,3.0,3.044
714,4.0,3.033
715,1.0,2.997
716,4.0,3.064
717,1.0,3.052
718,1.0,3.078
719,3.0,3.056
720,1.0,3.096
721,1.0,3.077
722,2.0,3.03
723,3.0,3.044
724,2.0,3.096
725,4.0,3.049
726,3.0,3.051
727,2.0,3.049
728,1.0,3.065
729,1.0,3.011
730,2.0,3.05
731,2.0,3.073
732,1.0,3.025
733,1.0,3.077
734,2.0,3.044
735,2.0,3.069
736,4.0,3.091
737,1.0,3.029
738,2.0,3.073
739,2.0,3.099
740,1.0,3.068
741,3.0,3.064
742,3.0,3.024
743,2.0,3.015
744,2.0,3.065
745,2.0,3.021
746,2.0,3.028
747,1.0,3.085
748,3.0,3.088
749,2.0,3.091
750,1.0,3.003
751,2.0,3.08
752,4.0,3.04
753,3.0,3.033
754,3.0,3.087
755,2.0,3.087
756,3.0,3.066
757,2.0,3.01
758,4.0,3.076
759,1.0,3.055
760,3.0,3.108
761,1.0,3.099
762,3.0,3.099
763,3.0,3.087
764,2.0,3.059
765,1.0,2.989
766,2.0,3.037
767,4.0,3.004
768,1.0,3.039
769,1.0,3.077
770,1.0,3.046
771,1.0,3.07
772,1.0,3.125
773,3.0,3.085
774,2.0,3.071
775,4.0,3.046
776,1.0,3.064
777,1.0,3.081
778,1.0,3.079
779,1.0,3.082
780,2.0,3.045
781,1.0,3.061
782,2.0,3.036
783,1.0,3.057
784,1.0,3.033
785,1.0,3.096
786,3.0,3.062
787,2.0,3.076
788,1.0,3.067
789,1.0,3.041
790,3.0,3.081
791,1.0,3.094
792,4.0,3.059
793,1.0,3.055
794,2.0,3.064
795,2.0,3.072
796,2.0,3.054
797,1.0,3.08
798,1.0,3.032
799,1.0,3.043
800,1.0,3.095
801,1.0,3.012
802,1.0,3.081
803,1.0,3.073
804,1.0,3.051
805,1.0,3.056
806,2.0,3.041
807,1.0,3.06
808,1.0,3.107
809,3.0,3.072
810,1.0,3.051
811,1.0,3.034
812,1.0,3.09
813,1.0,3.104
814,1.0,3.05
815,1.0,3.125
816,1.0,3.095
817,4.0,3.084
818,3.0,3.027
819,3.0,3.085
820,5.0,3.051
821,3.0,3.131
822,5.0,3.071
823,4.0,3.069
824,5.0,3.055
825,5.0,2.968
826,2.0,3.091
827,5.0,3.049
828,5.0,3.028
829,2.0,3.04
830,5.0,3.032
831,5.0,3.087
832,4.0,3.005
833,4.0,3.078
834,4.0,3.067
835,4.0,3.103
836,4.0,3.005
837,3.0,3.083
838,4.0,3.049
839,4.0,3.022
840,4.0,3.055
841,4.0,3.084
842,3.0,3.041
843,2.0,3.044
844,3.0,3.11
845,5.0,3.061
846,3.0,3.065
847,5.0,3.071
848,5.0,3.015
849,4.0,3.032
850,4.0,3.077
851,2.0,3.004
852,5.0,3.002
853,4.0,3.085
854,4.0,3.067
855,4.0,3.044
856,5.0,3.062
857,4.0,3.084
858,2.0,2.935
859,3.0,3.1
860,2.0,3.059
861,1.0,3.045
862,3.0,3.091
863,4.0,3.067
864,4.0,3.085
865,1.0,3.036
866,3.0,3.093
867,3.0,3.064
868,3.0,3.087
869,4.0,3.072
870,3.0,3.056
871,3.0,3.12
872,3.0,3.046
873,5.0,3.051
874,4.0,3.019
875,4.0,3.04
876,2.0,3.073
877,3.0,3.051
878,3.0,3.013
879,4.0,3.049
880,3.0,3.065
881,2.0,3.039
882,3.0,3.131
883,3.0,3.08
884,1.0,3.091
885,2.0,3.005
886,4.0,3.071
887,4.0,3.069
888,5.0,2.968
889,4.0,3.091
890,4.0,3.05
891,4.0,3.102
892,3.0,3.073
893,3.0,3.099
894,4.0,3.061
895,4.0,3.024
896,4.0,3.028
897,2.0,3.088
898,5.0,3.028
899,3.0,3.117
900,2.0,3.04
901,2.0,3.123
902,4.0,3.062
903,1.0,3.033
904,2.0,3.087
905,3.0,3.032
906,5.0,3.07
907,5.0,3.081
908,3.0,3.054
909,3.0,3.061
910,3.0,3.087
911,5.0,3.005
912,3.0,3.066
913,3.0,3.078
914,4.0,3.011
915,3.0,3.066
916,4.0,3.05
917,4.0,3.075
918,3.0,3.043
919,4.0,3.044
920,3.0,3.094
921,4.0,3.036
922,3.0,3.08
923,4.0,3.041
924,4.0,3.032
925,3.0,3.067
926,5.0,3.005
927,3.0,3.1
928,4.0,3.087
929,2.0,3.077
930,3.0,3.098
931,3.0,3.076
932,3.0,3.065
933,5.0,3.114
934,4.0,3.047
935,4.0,3.046
936,2.0,3.049
937,3.0,3.062
938,4.0,3.087
939,2.0,3.084
940,5.0,3.033
941,5.0,3.033
942,4.0,3.069
943,4.0,3.091
944,3.0,3.039
945,4.0,3.055
946,3.0,3.055
947,2.0,3.044
948,2.0,3.094
949,5.0,3.013
950,4.0,3.05
951,5.0,3.078
952,4.0,3.084
953,5.0,2.935
954,4.0,3.107
955,3.0,3.077
956,5.0,3.059
957,3.0,3.055
958,5.0,3.027
959,4.0,3.059
960,4.0,3.06
961,2.0,3.045
962,4.0,3.045
963,3.0,3.091
964,2.0,3.067
965,4.0,3.085
966,4.0,3.116
967,4.0,3.036
968,3.0,3.033
969,5.0,3.064
970,3.0,3.057
971,3.0,3.065
972,4.0,3.087
973,4.0,3.072
974,5.0,3.056
975,4.0,3.059
976,4.0,3.051
977,3.0,3.044
978,3.0,3.045
979,4.0,3.046
980,4.0,3.049
981,5.0,3.027
982,1.0,3.11
983,4.0,3.051
984,5.0,3.019
985,4.0,3.04
986,5.0,3.051
987,4.0,3.013
988,4.0,3.065
989,4.0,3.039
990,5.0,3.131
991,1.0,3.011
992,3.0,3.085
993,4.0,3.036
994,5.0,3.091
995,5.0,3.122
996,4.0,3.005
997,4.0,3.048
998,5.0,2.968
999,4.0,3.05
1000,4.0,3.067
1001,4.0,3.102
1002,5.0,3.091
1003,4.0,3.086
1004,5.0,3.064
1005,4.0,3.024
1006,1.0,3.065
1007,4.0,3.021
1008,4.0,3.028
1009,4.0,3.05
1010,4.0,3.088
1011,3.0,3.091
1012,1.0,3.003
1013,4.0,3.04
1014,4.0,3.123
1015,4.0,3.062
1016,5.0,3.048
1017,5.0,3.033
1018,4.0,3.045
1019,5.0,3.087
1020,2.0,3.032
1021,4.0,3.07
1022,4.0,3.081
1023,5.0,3.054
1024,5.0,3.061
1025,4.0,3.087
1026,4.0,3.011
1027,4.0,3.077
1028,4.0,3.066
1029,4.0,3.05
1030,5.0,3.075
1031,5.0,3.043
1032,4.0,3.044
1033,3.0,3.094
1034,3.0,3.01
1035,5.0,3.092
1036,4.0,3.036
1037,4.0,3.053
1038,5.0,3.063
1039,4.0,3.107
1040,2.0,3.076
1041,4.0,3.055
1042,5.0,3.041
1043,4.0,3.108
1044,3.0,3.032
1045,4.0,3.099
1046,4.0,3.103
1047,4.0,3.1
1048,5.0,3.063
1049,3.0,3.059
1050,3.0,3.037
1051,3.0,3.004
1052,4.0,3.077
1053,3.0,3.054
1054,4.0,3.098
1055,1.0,3.07
1056,3.0,3.089
1057,5.0,3.076
1058,3.0,3.088
1059,3.0,3.072
1060,4.0,3.1
1061,4.0,3.065
1062,5.0,3.114
1063,4.0,3.039
1064,2.0,3.047
1065,1.0,3.085
1066,4.0,3.046
1067,4.0,3.071
1068,4.0,3.082
1069,4.0,3.082
1070,2.0,3.045
1071,4.0,3.036
1072,4.0,3.06
1073,3.0,3.062
1074,5.0,3.069
1075,2.0,3.076
1076,4.0,3.067
1077,5.0,3.123
1078,4.0,3.073
1079,5.0,3.055
1080,3.0,3.081
1081,4.0,3.059
1082,2.0,3.055
1083,2.0,3.054
1084,2.0,3.051
1085,2.0,3.051
1086,2.0,3.05
1087,4.0,3.05
1088,4.0,3.067
1089,4.0,3.067
1090,4.0,3.035
1091,1.0,3.03
1092,4.0,3.033
1093,3.0,3.056
1094,3.0,3.084
1095,3.0,3.107
1096,3.0,3.077
1097,4.0,3.059
1098,2.0,3.1
1099,3.0,3.055
1100,2.0,3.027
1101,2.0,3.045
1102,3.0,3.045
1103,2.0,3.091
1104,3.0,3.067
1105,4.0,3.085
1106,2.0,3.101
1107,2.0,3.116
1108,3.0,3.036
1109,2.0,3.093
1110,3.0,3.064
1111,2.0,3.087
1112,3.0,3.056
1113,2.0,3.059
1114,2.0,3.044
1115,3.0,3.12
1116,3.0,3.046
1117,3.0,3.096
1118,3.0,3.049
1119,3.0,3.027
1120,3.0,3.051
1121,2.0,3.014
1122,3.0,3.086
1123,2.0,3.019
1124,3.0,3.073
1125,4.0,3.033
1126,4.0,3.051
1127,3.0,3.013
1128,3.0,3.068
1129,2.0,3.04
1130,2.0,3.039
1131,4.0,3.131
1132,3.0,3.011
1133,3.0,3.085
1134,3.0,3.091
1135,2.0,3.122
1136,4.0,3.005
1137,4.0,3.071
1138,2.0,3.062
1139,3.0,3.055
1140,4.0,2.968
1141,3.0,3.049
1142,3.0,3.05
1143,3.0,3.102
1144,2.0,3.091
1145,2.0,3.086
1146,3.0,3.049
1147,2.0,3.021
1148,4.0,3.037
1149,3.0,3.065
1150,3.0,3.021
1151,2.0,3.085
1152,3.0,3.088
1153,2.0,3.003
1154,2.0,3.08
1155,3.0,3.04
1156,3.0,3.123
1157,3.0,3.045
1158,4.0,3.087
1159,4.0,3.023
1160,4.0,3.011
1161,2.0,3.077
1162,3.0,3.05
1163,3.0,3.043
1164,3.0,3.044
1165,3.0,3.036
1166,2.0,3.107
1167,3.0,3.041
1168,3.0,3.1
1169,2.0,3.085
1170,2.0,3.067
1171,3.0,3.077
1172,1.0,3.06
1173,2.0,3.016
1174,2.0,3.076
1175,2.0,3.088
1176,4.0,3.108
1177,3.0,3.1
1178,1.0,3.109
1179,3.0,3.039
1180,4.0,3.085
1181,3.0,3.082
1182,2.0,3.062
1183,3.0,3.054
1184,2.0,3.081
1185,2.0,3.096
1186,3.0,3.111
1187,3.0,3.069
1188,1.0,3.04
1189,3.0,3.091
1190,1.0,3.07
1191,3.0,3.068
1192,3.0,3.102
1193,2.0,3.123
1194,2.0,3.063
1195,2.0,3.054
1196,1.0,3.041
1197,2.0,3.089
1198,2.0,3.1
1199,4.0,3.062
1200,2.0,3.044
1201,4.0,3.084
1202,2.0,3.027
1203,4.0,3.045
1204,4.0,3.085
1205,4.0,3.056
1206,1.0,3.096
1207,2.0,3.077
1208,4.0,3.044
1209,4.0,3.036
1210,4.0,3.12
1211,4.0,3.046
1212,4.0,3.015
1213,5.0,3.049
1214,5.0,3.027
1215,3.0,3.11
1216,3.0,3.049
1217,3.0,3.055
1218,3.0,3.065
1219,4.0,3.08
1220,3.0,3.091
1221,3.0,3.077
1222,4.0,3.087
1223,3.0,3.059
1224,3.0,3.037
1225,3.0,3.039
1226,3.0,3.077
1227,2.0,3.054
1228,4.0,3.066
1229,1.0,3.051
1230,2.0,3.1
1231,4.0,3.017
1232,1.0,2.998
1233,3.0,3.08
1234,1.0,3.073
1235,3.0,3.084
1236,4.0,2.935
1237,3.0,3.1
1238,2.0,3.027
1239,4.0,3.059
1240,3.0,3.06
1241,4.0,3.045
1242,4.0,3.091
1243,3.0,3.067
1244,4.0,3.085
1245,4.0,3.036
1246,4.0,3.041
1247,4.0,3.033
1248,3.0,3.056
1249,2.0,3.014
1250,5.0,3.096
1251,3.0,3.051
1252,3.0,3.044
1253,4.0,3.036
1254,2.0,3.058
1255,4.0,3.046
1256,4.0,3.015
1257,5.0,3.049
1258,5.0,3.027
1259,4.0,3.051
1260,4.0,3.014
1261,4.0,3.019
1262,5.0,3.04
1263,2.0,3.083
1264,3.0,3.073
1265,5.0,3.051
1266,5.0,3.013
1267,5.0,3.061
1268,1.0,3.011
1269,2.0,3.005
1270,5.0,3.048
1271,1.0,3.069
1272,3.0,3.055
1273,5.0,2.968
1274,4.0,3.067
1275,4.0,3.102
1276,4.0,3.099
1277,1.0,3.068
1278,3.0,3.015
1279,3.0,3.021
1280,4.0,3.028
1281,4.0,3.088
1282,3.0,3.091
1283,4.0,3.028
1284,4.0,3.123
1285,4.0,3.062
1286,4.0,3.033
1287,5.0,3.032
1288,4.0,3.07
1289,5.0,3.054
1290,5.0,3.061
1291,4.0,3.055
1292,3.0,3.087
1293,4.0,3.005
1294,5.0,3.066
1295,4.0,3.078
1296,4.0,3.011
1297,2.0,3.077
1298,4.0,3.066
1299,4.0,3.05
1300,4.0,3.012
1301,5.0,3.092
1302,5.0,3.036
1303,5.0,3.08
1304,5.0,3.076
1305,4.0,3.108
1306,4.0,3.032
1307,4.0,3.103
1308,5.0,3.005
1309,3.0,3.087
1310,4.0,3.077
1311,4.0,3.1
1312,4.0,3.039
1313,4.0,3.07
1314,3.0,3.085
1315,4.0,3.046
1316,4.0,3.082
1317,2.0,3.087
1318,3.0,3.082
1319,3.0,3.036
1320,4.0,3.06
1321,4.0,3.033
1322,3.0,3.096
1323,4.0,3.111
1324,4.0,3.033
1325,4.0,3.091
1326,4.0,3.067
1327,1.0,3.054
1328,1.0,3.059
1329,3.0,3.032
1330,2.0,3.095
1331,5.0,3.013
1332,3.0,3.03
1333,4.0,3.083
1334,4.0,3.041
1335,4.0,3.025
1336,5.0,3.084
1337,4.0,3.107
1338,3.0,3.077
1339,5.0,3.059
1340,3.0,3.1
1341,3.0,3.055
1342,1.0,3.027
1343,5.0,3.059
1344,2.0,3.045
1345,3.0,3.045
1346,2.0,3.091
1347,4.0,3.085
1348,2.0,3.101
1349,3.0,3.116
1350,5.0,3.036
1351,4.0,3.041
1352,3.0,2.972
1353,4.0,3.093
1354,1.0,2.997
1355,5.0,3.064
1356,3.0,3.057
1357,4.0,3.052
1358,5.0,3.087
1359,5.0,3.078
1360,1.0,3.056
1361,4.0,3.059
