,GT,Predict
247,4.0,3.782
248,3.0,3.475
249,4.0,3.53
250,5.0,4.013
251,4.0,3.429
252,4.0,3.726
253,4.0,3.758
254,5.0,4.287
255,4.0,3.686
256,5.0,3.248
257,2.0,3.733
258,4.0,3.879
259,3.0,3.787
260,2.0,3.13
261,4.0,4.183
262,3.0,3.942
263,1.0,3.284
264,1.0,3.305
265,1.0,3.69
266,1.0,3.79
267,1.0,3.353
268,5.0,4.143
269,3.0,3.73
270,1.0,2.915
271,1.0,3.228
272,5.0,3.569
273,1.0,3.021
274,3.0,3.355
275,4.0,3.669
276,1.0,3.712
277,5.0,3.44
278,2.0,3.514
279,5.0,3.13
280,2.0,3.202
281,1.0,2.973
282,1.0,3.436
283,1.0,2.81
284,1.0,3.094
285,1.0,2.797
286,5.0,4.23
287,5.0,4.275
288,3.0,2.614
289,3.0,3.589
290,3.0,4.13
291,5.0,4.128
292,2.0,3.545
293,3.0,3.161
294,4.0,4.07
295,4.0,3.626
296,5.0,4.357
297,5.0,4.159
298,4.0,3.335
299,5.0,3.718
300,3.0,3.391
301,3.0,2.63
302,4.0,3.768
303,2.0,2.956
304,1.0,3.683
305,4.0,2.901
306,4.0,3.492
307,5.0,3.647
308,2.0,3.227
309,4.0,4.163
310,4.0,2.934
311,5.0,4.005
312,3.0,3.253
313,4.0,3.641
314,3.0,3.173
315,5.0,3.959
316,3.0,3.516
317,4.0,3.509
318,4.0,4.241
319,1.0,3.082
320,3.0,3.345
321,5.0,4.246
322,2.0,3.456
323,3.0,3.056
324,3.0,3.314
325,4.0,3.12
326,3.0,3.52
327,5.0,4.045
328,1.0,3.94
329,3.0,2.664
330,4.0,2.963
331,4.0,3.122
332,1.0,3.537
333,2.0,3.061
334,2.0,2.146
335,5.0,3.825
336,3.0,2.684
337,5.0,3.913
338,5.0,3.873
339,3.0,3.896
340,3.0,3.128
341,4.0,3.3
342,5.0,3.092
343,4.0,3.656
344,3.0,3.903
345,4.0,2.612
346,1.0,3.371
347,3.0,3.058
348,4.0,3.452
349,5.0,3.844
350,5.0,3.888
351,2.0,3.348
352,3.0,2.712
353,4.0,3.675
354,4.0,4.022
355,4.0,4.145
356,3.0,3.082
357,3.0,3.633
358,2.0,3.926
359,2.0,3.873
360,3.0,3.973
361,5.0,4.072
362,3.0,3.486
363,5.0,3.856
364,4.0,4.298
365,4.0,3.106
366,5.0,3.89
367,3.0,3.903
368,3.0,3.768
369,3.0,3.562
370,5.0,3.892
371,4.0,3.967
372,4.0,3.445
373,4.0,3.616
374,3.0,3.74
375,3.0,3.192
376,4.0,3.504
377,5.0,3.67
378,4.0,4.014
379,4.0,4.377
380,2.0,3.16
381,4.0,4.193
382,3.0,4.231
383,5.0,3.556
384,5.0,4.226
385,3.0,3.507
386,3.0,3.907
387,3.0,4.37
388,5.0,3.986
389,3.0,3.614
390,4.0,3.807
391,5.0,3.853
392,3.0,4.105
393,2.0,3.78
394,4.0,3.649
395,4.0,3.981
396,3.0,3.609
397,4.0,3.878
398,5.0,3.464
399,5.0,4.161
400,4.0,4.024
401,4.0,3.92
402,4.0,3.966
403,4.0,4.012
404,3.0,3.638
405,5.0,3.809
406,4.0,3.307
407,4.0,3.876
408,3.0,2.59
409,4.0,3.381
410,3.0,3.403
411,3.0,3.463
412,1.0,3.807
413,3.0,3.757
414,4.0,3.583
415,2.0,2.763
416,4.0,3.534
417,4.0,3.269
418,3.0,3.543
419,5.0,4.104
420,5.0,3.414
421,5.0,4.245
422,1.0,3.62
423,5.0,3.691
424,3.0,3.61
425,3.0,3.506
426,3.0,3.077
427,3.0,2.896
428,3.0,3.059
429,2.0,3.445
430,3.0,3.075
431,4.0,3.643
432,2.0,3.097
433,2.0,3.089
434,4.0,3.42
435,4.0,3.922
436,3.0,3.234
437,5.0,3.753
438,3.0,3.219
439,4.0,3.238
440,3.0,3.056
441,3.0,3.642
442,3.0,2.691
443,4.0,3.796
444,4.0,3.644
445,5.0,4.047
446,4.0,3.141
447,5.0,3.503
448,1.0,2.718
449,3.0,2.804
450,3.0,3.026
451,5.0,3.632
452,3.0,3.492
453,4.0,3.196
454,5.0,4.055
455,4.0,3.119
456,1.0,2.845
457,3.0,3.247
458,5.0,3.138
459,2.0,2.917
460,5.0,4.011
461,4.0,2.893
462,4.0,3.583
463,1.0,3.639
464,4.0,3.584
465,5.0,3.899
466,2.0,3.746
467,5.0,3.95
468,5.0,3.928
469,5.0,4.038
470,3.0,3.486
471,3.0,2.996
472,1.0,2.169
473,2.0,2.852
474,4.0,3.355
475,1.0,2.271
476,4.0,3.576
477,2.0,2.779
478,4.0,3.412
479,4.0,3.927
480,3.0,3.537
481,2.0,2.437
482,4.0,3.986
483,3.0,2.651
484,2.0,2.577
485,5.0,3.327
486,5.0,4.009
487,3.0,3.302
488,5.0,3.679
489,2.0,3.499
490,5.0,3.74
491,5.0,3.206
492,5.0,3.751
493,4.0,3.616
494,4.0,3.928
495,3.0,3.511
496,4.0,3.459
497,4.0,3.314
498,5.0,3.823
499,4.0,4.078
500,5.0,4.047
501,1.0,3.246
502,2.0,3.166
503,4.0,3.819
504,4.0,3.485
505,3.0,2.935
506,4.0,2.797
507,5.0,4.389
508,3.0,3.051
509,4.0,4.135
510,4.0,3.681
511,4.0,3.63
512,5.0,3.934
513,3.0,3.57
514,5.0,3.677
515,5.0,3.626
516,2.0,3.212
517,4.0,4.115
518,4.0,3.468
519,5.0,3.915
520,5.0,3.721
521,5.0,3.79
522,5.0,3.975
523,3.0,3.238
524,5.0,3.668
525,4.0,3.344
526,4.0,3.657
527,4.0,3.518
528,3.0,3.592
529,5.0,3.869
530,2.0,3.153
531,1.0,3.261
532,4.0,3.17
533,5.0,3.82
534,2.0,3.482
535,4.0,3.418
536,5.0,3.813
537,2.0,2.606
538,4.0,3.097
539,4.0,3.82
540,2.0,3.234
541,5.0,3.521
542,1.0,2.541
543,2.0,3.107
544,5.0,3.779
545,4.0,3.504
546,4.0,3.211
547,1.0,2.667
548,2.0,2.807
549,4.0,3.454
550,4.0,3.335
551,4.0,4.175
552,1.0,2.259
553,4.0,3.906
554,5.0,3.699
555,5.0,3.749
556,5.0,3.749
557,2.0,2.61
558,3.0,3.915
559,4.0,4.194
560,4.0,3.595
561,4.0,3.576
562,4.0,3.48
563,2.0,3.443
564,5.0,3.971
565,2.0,2.454
566,4.0,4.091
567,4.0,3.544
568,1.0,3.031
569,5.0,3.941
570,3.0,3.465
571,5.0,3.887
572,4.0,3.622
573,5.0,3.379
574,5.0,4.196
575,5.0,3.279
576,3.0,2.742
577,5.0,3.457
578,4.0,3.283
579,3.0,2.785
580,5.0,3.877
581,4.0,2.608
582,4.0,2.663
583,5.0,4.202
584,4.0,3.679
585,5.0,3.791
586,5.0,4.024
587,5.0,4.134
588,2.0,2.906
589,5.0,4.427
590,4.0,3.876
591,1.0,2.989
592,3.0,2.838
593,4.0,3.329
594,1.0,2.921
595,5.0,3.75
596,3.0,3.755
597,3.0,3.682
598,5.0,3.668
599,5.0,4.133
600,1.0,3.044
601,3.0,3.319
602,4.0,2.718
603,5.0,2.994
604,1.0,3.568
605,3.0,3.517
606,4.0,3.754
607,1.0,2.602
608,3.0,3.004
609,3.0,2.973
610,2.0,2.637
611,2.0,2.714
612,4.0,3.735
613,3.0,2.365
614,1.0,2.928
615,4.0,3.293
616,3.0,3.246
617,4.0,3.855
618,4.0,3.692
619,5.0,4.186
620,4.0,2.911
621,3.0,3.075
622,1.0,2.224
623,4.0,3.416
624,4.0,3.198
625,3.0,3.195
626,2.0,2.581
627,3.0,3.409
628,4.0,3.286
629,3.0,3.453
630,1.0,2.838
631,4.0,3.458
632,4.0,3.551
633,5.0,3.893
634,3.0,3.27
635,4.0,3.437
636,3.0,3.441
637,1.0,4.067
638,2.0,3.452
639,2.0,3.644
640,3.0,3.664
641,1.0,3.76
642,3.0,3.022
643,1.0,2.777
644,1.0,2.718
645,1.0,2.868
646,1.0,2.462
647,2.0,3.571
648,2.0,3.697
649,2.0,2.845
650,3.0,3.955
651,3.0,3.696
652,2.0,4.151
653,2.0,3.603
654,3.0,3.018
655,1.0,2.897
656,1.0,2.94
657,2.0,2.74
658,1.0,3.343
659,1.0,2.975
660,3.0,3.074
661,4.0,3.439
662,1.0,3.211
663,1.0,3.357
664,4.0,3.645
665,3.0,3.404
666,3.0,3.481
667,3.0,3.519
668,1.0,3.096
669,1.0,3.825
670,2.0,2.861
671,1.0,2.671
672,3.0,3.792
673,2.0,2.567
674,1.0,3.338
675,4.0,3.111
676,1.0,2.848
677,2.0,3.494
678,1.0,2.63
679,4.0,3.434
680,2.0,3.094
681,2.0,2.898
682,1.0,3.685
683,4.0,2.814
684,1.0,2.719
685,3.0,2.994
686,2.0,3.832
687,2.0,3.025
688,2.0,3.181
689,2.0,2.691
690,1.0,2.868
691,1.0,3.058
692,1.0,3.972
693,1.0,3.129
694,1.0,3.046
695,1.0,3.19
696,3.0,3.744
697,4.0,3.175
698,2.0,2.97
699,1.0,2.593
700,4.0,3.635
701,2.0,3.188
702,3.0,3.454
703,1.0,2.411
704,2.0,3.807
705,3.0,3.233
706,5.0,3.657
707,1.0,2.884
708,1.0,2.846
709,4.0,3.153
710,2.0,3.542
711,2.0,2.808
712,1.0,3.394
713,1.0,2.844
714,1.0,3.188
715,3.0,3.371
716,1.0,2.791
717,2.0,2.669
718,1.0,2.74
719,3.0,3.398
720,1.0,3.323
721,2.0,3.736
722,1.0,2.909
723,4.0,3.888
724,1.0,3.268
725,1.0,3.266
726,3.0,2.279
727,3.0,3.432
728,2.0,2.794
729,1.0,3.372
730,2.0,3.496
731,2.0,3.879
732,1.0,2.536
733,2.0,3.171
734,3.0,3.689
735,2.0,3.285
736,2.0,2.877
737,2.0,3.402
738,1.0,2.661
739,1.0,3.952
740,1.0,2.593
741,4.0,2.789
742,5.0,4.361
743,4.0,4.105
744,4.0,3.997
745,4.0,4.036
746,5.0,4.168
747,2.0,2.808
748,5.0,3.856
749,3.0,3.405
750,4.0,3.963
751,5.0,3.786
752,3.0,3.694
753,2.0,3.583
754,4.0,4.224
755,5.0,4.174
756,3.0,3.662
757,4.0,3.408
758,4.0,3.564
759,3.0,4.064
760,4.0,3.488
761,5.0,3.966
762,5.0,4.085
763,5.0,4.129
764,4.0,4.181
765,3.0,3.744
766,3.0,3.879
767,4.0,3.931
768,4.0,3.995
769,5.0,4.053
770,4.0,3.838
771,4.0,3.297
772,2.0,3.483
773,5.0,3.854
774,5.0,3.956
775,5.0,3.7
776,2.0,2.903
777,4.0,3.212
778,3.0,3.612
779,3.0,3.68
780,4.0,3.646
781,2.0,3.348
782,3.0,3.153
783,4.0,4.172
784,3.0,3.573
785,2.0,3.108
786,3.0,3.317
787,3.0,3.235
788,4.0,3.853
789,5.0,4.224
790,3.0,3.446
791,4.0,3.368
792,2.0,4.03
793,4.0,3.811
794,1.0,3.586
795,4.0,3.782
796,2.0,3.883
797,4.0,3.561
798,4.0,4.143
799,3.0,3.426
800,4.0,4.288
801,2.0,3.971
802,4.0,3.782
803,4.0,4.034
804,3.0,3.58
805,2.0,3.81
806,5.0,3.967
807,5.0,4.371
808,4.0,3.97
809,3.0,3.336
810,2.0,3.708
811,3.0,3.165
812,2.0,4.07
813,3.0,3.982
814,3.0,3.409
815,5.0,3.794
816,5.0,4.182
817,4.0,3.565
818,4.0,3.672
819,3.0,4.133
820,1.0,3.872
821,2.0,3.199
822,4.0,3.923
823,3.0,3.545
824,5.0,3.948
825,3.0,3.714
826,2.0,3.187
827,2.0,3.642
828,4.0,3.93
829,4.0,3.555
830,1.0,3.984
831,4.0,3.577
832,4.0,3.83
833,4.0,3.537
834,3.0,3.766
835,5.0,4.112
836,3.0,4.138
837,5.0,3.344
838,5.0,4.14
839,2.0,3.589
840,5.0,4.409
841,4.0,3.872
842,1.0,3.751
843,3.0,3.986
844,3.0,3.989
845,4.0,4.211
846,3.0,3.95
847,5.0,4.136
848,3.0,3.544
849,3.0,3.82
850,4.0,3.805
851,4.0,4.03
852,4.0,3.143
853,3.0,3.189
854,4.0,3.853
855,3.0,3.361
856,3.0,3.419
857,4.0,3.816
858,4.0,3.658
859,2.0,3.639
860,3.0,4.424
861,3.0,3.889
862,3.0,3.323
863,3.0,3.94
864,3.0,2.761
865,2.0,3.321
866,3.0,3.345
867,3.0,3.214
868,5.0,3.473
869,4.0,3.617
870,2.0,3.74
871,3.0,2.845
872,5.0,3.76
873,4.0,3.042
874,3.0,2.392
875,4.0,3.622
876,4.0,3.898
877,4.0,3.435
878,4.0,3.083
879,2.0,2.784
880,5.0,2.991
881,4.0,3.425
882,4.0,3.98
883,4.0,4.094
884,4.0,4.095
885,3.0,3.199
886,2.0,2.721
887,4.0,3.921
888,2.0,3.904
889,4.0,3.427
890,4.0,3.922
891,2.0,3.207
892,5.0,3.773
893,3.0,3.209
894,2.0,2.802
895,4.0,3.825
896,3.0,2.961
897,4.0,3.95
898,3.0,3.587
899,4.0,3.622
900,4.0,3.689
901,5.0,4.133
902,5.0,3.893
903,4.0,3.077
904,5.0,3.925
905,4.0,3.933
906,1.0,2.607
907,4.0,4.14
908,3.0,3.432
909,4.0,3.992
910,3.0,3.425
911,4.0,3.246
912,4.0,3.493
913,3.0,3.583
914,4.0,3.39
915,5.0,3.639
916,5.0,3.96
917,4.0,3.865
918,4.0,3.866
919,4.0,4.06
920,1.0,2.846
921,5.0,3.687
922,2.0,3.778
923,4.0,3.556
924,5.0,3.284
925,4.0,4.071
926,1.0,3.606
927,4.0,3.529
928,4.0,3.644
929,3.0,3.224
930,4.0,3.807
931,4.0,3.51
932,4.0,3.968
933,4.0,3.806
934,4.0,3.206
935,2.0,2.702
936,4.0,3.374
937,3.0,3.495
938,4.0,3.885
939,4.0,3.592
940,4.0,3.687
941,4.0,3.952
942,5.0,4.133
943,4.0,4.15
944,4.0,3.632
945,5.0,3.653
946,4.0,4.406
947,4.0,3.128
948,5.0,3.992
949,5.0,3.62
950,3.0,3.229
951,4.0,3.451
952,4.0,3.739
953,4.0,4.231
954,1.0,3.11
955,3.0,2.842
956,5.0,3.427
957,5.0,3.6
958,5.0,4.476
959,4.0,3.265
960,5.0,3.471
961,4.0,3.366
962,4.0,3.228
963,2.0,2.885
964,1.0,2.583
965,5.0,3.506
966,4.0,3.177
967,5.0,4.379
968,3.0,2.633
969,4.0,3.614
970,1.0,3.18
971,5.0,3.959
972,4.0,3.547
973,4.0,3.393
974,4.0,3.567
975,4.0,3.049
976,5.0,4.072
977,4.0,3.973
978,2.0,3.864
979,5.0,3.526
980,4.0,3.853
981,4.0,3.647
982,4.0,3.155
983,5.0,3.945
984,4.0,3.48
985,3.0,3.745
986,4.0,3.852
987,5.0,3.861
988,4.0,3.241
989,5.0,4.268
990,3.0,3.44
991,2.0,2.69
992,5.0,3.871
993,2.0,2.976
994,3.0,3.677
995,2.0,3.447
996,2.0,3.485
997,3.0,3.647
998,4.0,4.003
999,3.0,3.366
1000,3.0,4.005
1001,1.0,2.271
1002,4.0,3.717
1003,1.0,2.658
1004,3.0,4.037
1005,3.0,4.163
1006,2.0,2.926
1007,3.0,3.623
1008,4.0,3.456
1009,3.0,2.582
1010,3.0,3.329
1011,4.0,3.291
1012,4.0,3.79
1013,2.0,2.804
1014,2.0,3.229
1015,2.0,3.259
1016,3.0,3.709
1017,3.0,3.269
1018,4.0,3.858
1019,3.0,3.449
1020,1.0,3.024
1021,2.0,3.437
1022,2.0,3.595
1023,3.0,3.292
1024,2.0,3.426
1025,2.0,3.202
1026,3.0,3.949
1027,3.0,3.892
1028,2.0,2.766
1029,3.0,3.659
1030,3.0,3.836
1031,3.0,3.553
1032,2.0,2.625
1033,2.0,3.038
1034,3.0,3.44
1035,2.0,2.592
1036,3.0,3.452
1037,2.0,3.262
1038,3.0,3.199
1039,2.0,3.094
1040,4.0,3.716
1041,4.0,4.137
1042,2.0,3.177
1043,2.0,3.351
1044,2.0,3.333
1045,3.0,3.762
1046,2.0,2.682
1047,3.0,4.283
1048,3.0,3.867
1049,3.0,3.654
1050,2.0,3.625
1051,3.0,4.091
1052,4.0,3.747
1053,2.0,3.582
1054,3.0,2.886
1055,3.0,3.571
1056,3.0,3.892
1057,2.0,3.433
1058,3.0,3.968
1059,3.0,3.613
1060,3.0,3.589
1061,4.0,3.331
1062,2.0,3.3
1063,2.0,3.326
1064,4.0,4.376
1065,3.0,4.105
1066,3.0,3.581
1067,2.0,3.045
1068,1.0,2.669
1069,2.0,3.72
1070,3.0,3.013
1071,3.0,4.054
1072,2.0,3.057
1073,2.0,2.792
1074,2.0,3.025
1075,4.0,4.055
1076,2.0,2.777
1077,2.0,2.612
1078,3.0,3.046
1079,2.0,3.117
1080,4.0,3.656
1081,2.0,3.953
1082,3.0,3.491
1083,3.0,2.985
1084,3.0,3.575
1085,3.0,4.147
1086,3.0,2.811
1087,3.0,3.308
1088,3.0,3.654
1089,3.0,3.232
1090,3.0,3.618
1091,3.0,3.015
1092,4.0,3.467
1093,2.0,3.124
1094,4.0,3.8
1095,3.0,2.726
1096,4.0,3.508
1097,5.0,4.044
1098,3.0,3.069
1099,4.0,4.211
1100,4.0,4.121
1101,4.0,3.697
1102,3.0,3.561
1103,3.0,3.927
1104,1.0,3.089
1105,5.0,4.228
1106,4.0,3.707
1107,2.0,3.479
1108,4.0,3.196
1109,4.0,3.048
1110,4.0,3.546
1111,2.0,2.986
1112,3.0,2.788
1113,1.0,3.092
1114,3.0,2.878
1115,4.0,3.503
1116,3.0,3.3
1117,2.0,3.684
1118,3.0,3.134
1119,1.0,3.287
1120,4.0,3.66
1121,3.0,3.204
1122,5.0,4.444
1123,5.0,4.0
1124,5.0,3.819
1125,4.0,3.656
1126,4.0,3.915
1127,5.0,4.073
1128,3.0,3.449
1129,4.0,3.775
1130,3.0,4.054
1131,4.0,3.793
1132,5.0,4.183
1133,3.0,3.354
1134,1.0,2.853
1135,4.0,3.59
1136,4.0,3.595
1137,1.0,3.132
1138,4.0,3.99
1139,4.0,3.579
1140,5.0,3.931
1141,4.0,3.942
1142,4.0,4.124
1143,4.0,3.901
1144,1.0,3.697
1145,4.0,3.444
1146,5.0,3.149
1147,4.0,3.713
1148,4.0,3.994
1149,4.0,3.727
1150,5.0,4.249
1151,4.0,3.69
1152,4.0,4.057
1153,4.0,3.909
1154,2.0,3.289
1155,3.0,3.138
1156,3.0,3.448
1157,3.0,3.739
1158,4.0,3.819
1159,5.0,3.876
1160,3.0,3.581
1161,4.0,3.705
1162,2.0,3.799
1163,4.0,3.068
1164,3.0,3.647
1165,5.0,4.054
1166,5.0,3.807
1167,2.0,2.948
1168,3.0,3.216
1169,4.0,3.506
1170,2.0,3.19
1171,4.0,3.757
1172,3.0,3.662
1173,4.0,3.801
1174,2.0,3.472
1175,3.0,3.573
1176,5.0,4.385
1177,3.0,3.783
1178,3.0,3.094
1179,4.0,3.139
1180,4.0,3.758
1181,1.0,3.879
1182,4.0,3.311
1183,4.0,3.605
1184,4.0,3.289
1185,5.0,3.866
1186,4.0,3.852
1187,5.0,3.866
1188,4.0,3.107
1189,5.0,3.786
1190,4.0,4.008
1191,4.0,3.247
1192,4.0,4.221
1193,4.0,3.895
1194,4.0,4.253
1195,4.0,4.13
1196,4.0,3.595
1197,3.0,4.153
1198,4.0,3.336
1199,5.0,3.826
1200,2.0,2.702
1201,5.0,3.424
1202,4.0,3.604
1203,4.0,3.853
1204,3.0,3.9
1205,3.0,3.133
1206,4.0,3.617
1207,5.0,3.855
1208,4.0,3.671
1209,3.0,3.412
1210,5.0,4.256
1211,3.0,2.714
1212,1.0,3.89
1213,1.0,3.473
1214,1.0,3.369
1215,3.0,3.384
1216,1.0,2.86
1217,3.0,3.055
1218,3.0,2.594
1219,5.0,3.885
1220,3.0,3.43
1221,4.0,3.053
1222,5.0,3.949
1223,2.0,3.343
1224,3.0,3.473
1225,5.0,3.747
1226,3.0,2.754
1227,1.0,3.479
1228,4.0,3.405
1229,4.0,3.729
1230,1.0,3.155
1231,4.0,3.187
1232,5.0,3.337
1233,5.0,3.444
1234,4.0,4.094
1235,4.0,4.153
1236,1.0,2.954
1237,4.0,3.815
1238,2.0,3.2
1239,3.0,4.125
1240,1.0,3.299
1241,3.0,3.461
1242,5.0,3.352
1243,1.0,3.229
1244,4.0,3.157
1245,1.0,3.362
1246,1.0,2.559
1247,4.0,3.278
1248,3.0,3.662
1249,4.0,2.969
1250,1.0,2.966
1251,2.0,2.6
1252,4.0,3.947
1253,3.0,3.38
1254,3.0,4.141
1255,3.0,2.507
1256,4.0,2.643
1257,3.0,3.833
1258,1.0,2.235
1259,2.0,3.617
1260,2.0,2.291
1261,3.0,3.164
1262,5.0,4.025
1263,1.0,3.373
1264,5.0,3.569
1265,3.0,3.3
1266,3.0,2.699
1267,4.0,3.678
1268,2.0,3.415
1269,4.0,3.439
1270,1.0,2.64
1271,5.0,3.925
1272,4.0,2.96
1273,1.0,3.152
1274,3.0,2.884
1275,1.0,2.755
1276,5.0,3.624
1277,3.0,3.553
1278,3.0,3.822
1279,5.0,3.411
1280,5.0,3.439
1281,5.0,4.291
1282,4.0,2.93
1283,3.0,3.029
1284,1.0,3.379
1285,5.0,3.802
1286,1.0,3.351
1287,1.0,3.14
1288,3.0,3.497
1289,3.0,3.339
1290,3.0,3.082
1291,4.0,3.263
1292,2.0,2.648
1293,4.0,3.901
1294,4.0,3.653
1295,5.0,3.952
1296,1.0,3.805
1297,3.0,3.257
1298,3.0,3.249
1299,2.0,2.851
1300,1.0,3.28
1301,3.0,3.471
1302,3.0,3.783
1303,4.0,3.289
1304,5.0,3.901
1305,1.0,2.629
1306,4.0,3.164
1307,5.0,3.779
1308,4.0,4.144
1309,3.0,3.594
1310,2.0,2.095
1311,3.0,3.648
1312,4.0,3.491
1313,3.0,4.417
1314,3.0,3.278
1315,4.0,3.626
1316,1.0,3.0
1317,3.0,3.015
1318,2.0,2.62
1319,3.0,3.061
1320,3.0,2.474
1321,3.0,3.853
1322,5.0,4.149
1323,3.0,2.93
1324,5.0,3.427
1325,5.0,3.824
1326,3.0,3.095
1327,3.0,3.671
1328,4.0,3.429
1329,1.0,3.866
1330,1.0,3.573
1331,4.0,3.79
1332,1.0,3.373
1333,5.0,4.0
1334,4.0,3.836
1335,5.0,4.073
1336,3.0,2.84
1337,3.0,3.384
1338,5.0,3.629
1339,3.0,3.856
1340,5.0,3.324
1341,2.0,4.063
1342,4.0,3.791
1343,1.0,2.06
1344,5.0,3.649
1345,3.0,3.714
1346,3.0,3.464
1347,1.0,3.496
1348,1.0,3.164
1349,3.0,2.778
1350,4.0,3.226
1351,4.0,2.98
1352,1.0,3.76
1353,5.0,3.946
1354,4.0,3.896
1355,5.0,3.996
1356,3.0,3.501
1357,5.0,3.904
1358,2.0,2.839
1359,5.0,3.821
1360,4.0,3.794
1361,5.0,3.554
