,a,b
132,batman & robin,a room for romeo brass
133,batman forever,a room with a view
134,batman returns,a scanner darkly
135,baton rouge,a serious man
136,bean,a shine of rainbows
137,"beans of egypt, maine, the",a simple plan
138,beat the devil,a simple wish
139,"beautician and the beast, the",a single man
140,beautiful girls,a sound of thunder
141,beautiful thing,a streetcar named desire
142,beauty and the beast,a thin line between love and hate
143,beavis and butt-head do america,a thousand words
144,bed of roses,a time to kill
145,bedknobs and broomsticks,a true story
146,before and after,a very harold & kumar christmas
147,before sunrise,a view to a kill
148,before the rain,a walk among the tombstones
149,being human,a walk on the moon
150,being there,a walk to remember
151,"believers, the",a.i. artificial intelligence
152,belle de jour,abandon
153,ben-hur,abandoned
154,benny & joon,abduction
155,bent,aberdeen
156,best men,about a boy
157,best of the best 3: no turning back,about last night
158,better off dead...,about schmidt
159,"beverly hillbillies, the",about time
160,beverly hills cop iii,abraham lincoln: vampire hunter
161,beverly hills ninja,absentia
162,"bewegte mann, der",absolute power
163,beyond bedlam,accidental love
164,beyond rangoon,ace ventura: pet detective
165,bhaji on the beach,ace ventura: when nature calls
166,"big bang theory, the",across the universe
167,"big blue, the",act of valor
168,big bully,action jackson
169,"big green, the",adam
170,"big lebowski, the",adam resurrected
171,big night,adaptation.
172,"big one, the",addicted
173,"big sleep, the",admission
174,"big squeeze, the",adore
175,billy madison,adulterers
176,bio-dome,adventureland
177,bird of prey,after
178,"birdcage, the",after earth
179,"birds, the",after the sunset
180,bitter moon,after.life
181,bitter sugar,against the ropes
182,black beauty,against the wild
183,black sheep,agent cody banks
184,blade runner,agent cody banks 2: destination london
185,blink,agora
186,bliss,aimee & jaguar
187,"blob, the",air bud
188,blood & wine,air force one
189,blood beach,airborne
190,blood for dracula,airlift
191,bloodsport 2,airplane!
192,"bloody child, the",ajami
193,blown away,akeelah and the bee
194,"blue angel, the",aladdin
195,blue chips,alatriste
196,blue in the face,albert nobbs
197,blue sky,albino alligator
198,blues brothers 2000,alex & emma
199,"blues brothers, the",alex cross
200,bob roberts,alexander
201,body parts,"alexander and the terrible, horrible, no good, very bad day"
202,"body snatcher, the",alexander's ragtime band
203,body snatchers,alfie
204,bogus,ali
205,"bonheur, le",alice in wonderland
206,bonnie and clyde,alice through the looking glass
207,boogie nights,alien
208,boomerang,alien zone
209,"boot, das",alien: resurrection
210,booty call,aliens
211,bottle rocket,aliens in the attic
212,bound,aliens vs predator: requiem
213,boxing helena,alien³
214,boy's life 2,alive
215,boys,all about steve
216,boys in venice,all about the benjamins
217,boys life,all good things
218,"boys of st. vincent, the",all hat
219,boys on the side,all is bright
220,"boys, les",all is lost
221,"brady bunch movie, the",all or nothing
222,braindead,all superheroes must die
223,bram stoker's dracula,all that jazz
224,brassed off,all the boys love mandy lane
225,braveheart,all the king's men
226,brazil,all the pretty horses
227,bread and chocolate,all the queen's men
228,breakdown,all the real girls
229,breakfast at tiffany's,allegiant
230,breaking the waves,alleluia! the devil's carnival
231,bride of frankenstein,almost famous
232,"bridge on the river kwai, the",aloft
233,"bridges of madison county, the",aloha
234,bringing up baby,alone in the dark
235,broken arrow,alone with her
236,broken english,along came a spider
237,"bronx tale, a",along came polly
238,brother minister: the assassination of malcolm x,along the roadside
239,"brother's kiss, a",alpha and omega
240,brothers in trouble,alpha and omega: the legend of the saw tooth cave
241,"brothers mcmullen, the",alvin and the chipmunks
242,"browning version, the",alvin and the chipmunks: chipwrecked
243,buddy,alvin and the chipmunks: the road chip
244,bulletproof,alvin and the chipmunks: the squeakquel
245,bullets over broadway,amadeus
246,burnt by the sun,amen.
247,burnt offerings,america is still the place
248,bushwhacked,america's sweethearts
249,butch cassidy and the sundance kid,american beauty
250,"butcher boy, the",american desi
251,butterfly kiss,american dreamz
252,"bye bye, love",american gangster
253,c'est arrivé près de chez vous,american graffiti
254,cabin boy,american heist
255,"cable guy, the",american hero
256,calendar girl,american history x
257,canadian bacon,american hustle
258,"candidate, the",american ninja 2: the confrontation
259,candyman,american outlaws
260,candyman: farewell to the flesh,american pie
261,cape fear,american pie 2
262,captives,american psycho
263,career girls,american reunion
264,careful,american sniper
265,carlito's way,american splendor
266,carmen miranda: bananas is my business,american wedding
267,caro diario,amidst the devil's wings
268,carpool,amigo
269,carrie,amistad
270,carried away,amnesiac
271,carrington,among giants
272,casablanca,amores perros
273,casino,amour
274,casper,"an alan smithee film: burn, hollywood, burn"
275,castle freak,an american carol
276,cat on a hot tin roof,an american haunting
277,cat people,an american in hollywood
278,cats don't dance,an education
279,catwalk,an everlasting piece
280,caught,an ideal husband
281,celestial clockwork,an inconvenient truth
282,"celluloid closet, the",an unfinished life
283,celtic pride,anaconda
284,"cement garden, the",anacondas: the hunt for the blood orchid
285,cemetery man,analyze that
286,century,analyze this
287,chain reaction,anastasia
288,chairman of the board,anatomie
289,"chamber, the",anchorman 2: the legend continues
290,charade,anchorman: the legend of ron burgundy
291,chasers,and so it goes
292,chasing amy,and then came love
293,children of the corn: the gathering,and when did you last see your father?
294,children of the revolution,anderson's cross
295,chinatown,angel eyes
296,"christmas carol, a",angela's ashes
297,chungking express,angels & demons
298,"ciao, professore!",animal house
299,cinderella,animals
300,cinema paradiso,anna and the king
301,circle of friends,anna karenina
302,citizen kane,annabelle
303,citizen ruth,anne of green gables
304,city hall,annie
305,city of angels,annie get your gun
306,city of industry,annie hall
307,"city of lost children, the",anomalisa
308,city slickers ii: the legend of curly's gold,anonymous
309,clean slate,another earth
310,clear and present danger,another happy day
311,clerks,another year
312,"client, the",ant-man
313,cliffhanger,antarctic edge: 70° south
314,clockers,antarctica: a year on ice
315,"clockwork orange, a",antibirth
316,"close shave, a",antitrust
317,clueless,antiviral
318,cobb,antwone fisher
319,cold comfort farm,antz
320,coldblooded,any given sunday
321,"collectionneuse, la",anything else
322,"colonel chabert, le",anywhere but here
323,color of night,apocalypse now
324,commandments,apocalypto
325,con air,apollo 13
326,conan the barbarian,apollo 18
327,condition red,appaloosa
328,coneheads,april fool's day
329,congo,aqua teen hunger force colon movie film for theaters
330,conspiracy theory,aquamarine
331,contact,arachnophobia
332,contempt,ararat
333,"convent, the",arbitrage
334,"cook the thief his wife & her lover, the",archaeology of a woman
335,cool hand luke,are we there yet?
336,cool runnings,area 51
337,cop land,argo
338,cops and robbersons,arlington road
339,copycat,armageddon
340,"corrina, corrina",armored
341,cosi,army of darkness
342,country life,arn: tempelriddaren
343,courage under fire,arnolds park
344,"cowboy way, the",around the world in 80 days
345,"craft, the",aroused
346,crash,arthur christmas
347,crimson tide,arthur et les minimoys
348,critical care,"as above, so below"
349,cronos,as good as it gets
350,crooklyn,ask me anything
351,crossfire,assassins
352,"crossing guard, the",assault on precinct 13
353,"crow, the",astro boy
354,"crow: city of angels, the",astérix aux jeux olympiques
355,crows and sparrows,at first sight
356,"crucible, the",atl
357,"crude oasis, the",atlantis: the lost empire
358,crumb,atlas shrugged part ii
359,"cry, the beloved country",atlas shrugged part iii: who is john galt?
360,"crying game, the",atonement
361,curdled,attack the block
362,"cure, the",august
363,cutthroat island,august rush
364,cyclo,august: osage county
365,cyrano de bergerac,austin powers in goldmember
366,"cérémonie, la",austin powers: international man of mystery
367,d3: the mighty ducks,austin powers: the spy who shagged me
368,dadetown,australia
369,daens,auto focus
370,"damsel in distress, a",autumn in new york
371,dances with wolves,autómata
372,dangerous beauty,avatar
373,dangerous ground,avengers: age of ultron
374,dangerous minds,avp: alien vs. predator
375,daniel defoe's robinson crusoe,awake
376,dante's peak,away we go
377,dark city,awol-72
378,dave,ayurveda: art of being
379,"davy crockett, king of the wild frontier",b-girl
380,"day the earth stood still, the",baahubali: the beginning
381,"day the sun turned cold, the",babe
382,daylight,babe: pig in the city
383,days of thunder,babel
384,"daytrippers, the",baby boy
385,dazed and confused,baby geniuses
386,dead man,baby mama
387,dead man walking,baby's day out
388,dead poets society,babylon a.d.
389,dead presidents,bachelorette
390,dear god,back to the future
391,death and the maiden,back to the future part ii
392,death in brunswick,back to the future part iii
393,death in the garden,backmask
394,deceiver,bad boys
395,deconstructing harry,bad boys ii
396,deep rising,bad company
397,"deer hunter, the",bad moms
398,delicatessen,bad santa
399,delta of venus,bad teacher
400,demolition man,bad words
401,denise calls up,baggage claim
402,desert winds,baghead
403,"designated mourner, the",bait
404,desperado,ballistic: ecks vs. sever
405,desperate measures,bambi
406,destiny turns on the radio,bamboozled
407,devil in a blue dress,bananas
408,"devil's advocate, the",bandidas
409,"devil's own, the",bandits
410,diabolique,bandslam
411,dial m for murder,bang
412,die hard,bang bang baby
413,die hard 2,bangkok dangerous
414,die hard: with a vengeance,banlieue 13
415,die xue shuang xiong,banshee chapter
416,dingo,barbarella
417,dirty dancing,barbecue
418,disclosure,barbershop
419,diva,barbershop 2:  back in business
420,dolores claiborne,barney's great adventure
421,don juan demarco,barney's version
422,don't be a menace to south central while drinking your juice in the hood,barnyard
423,donnie brasco,barry lyndon
424,"doom generation, the",barry munday
425,"doors, the",basic
426,double happiness,basic instinct 2
427,double team,basquiat
428,"double vie de véronique, la",bathing beauty
429,down by law,bathory
430,down periscope,batman
431,dr. strangelove or: how i learned to stop worrying and love the bomb,batman & robin
432,dracula: dead and loving it,batman begins
433,dragonheart,batman forever
434,dream man,batman returns
435,dream with the fishes,batman v superman: dawn of justice
436,drop dead fred,"batman: the dark knight returns, part 2"
437,drop zone,bats
438,drunks,battle for the planet of the apes
439,duck soup,battle of the year
440,dumb & dumber,battle: los angeles
441,dumbo,battlefield earth
442,dunston checks in,battleship
443,duoluo tianshi,be cool
444,e.t. the extra-terrestrial,be kind rewind
445,east of eden,beastly
446,eat drink man woman,beastmaster 2: through the portal of time
447,ed,beasts of the southern wild
448,ed wood,beat the world
449,ed's next move,beautiful creatures
450,eddie,beauty shop
451,"edge, the",beavis and butt-head do america
452,"eighth day, the",because i said so
453,emma,because of winn-dixie
454,"empire strikes back, the",becoming jane
455,enchanted april,bedazzled
456,"endless summer 2, the",bedtime stories
457,"enfer, l'",bee movie
458,"english patient, the",beer league
459,"englishman who went up a hill, but came down a mountain, the",beerfest
460,entertaining angels: the dorothy day story,beetlejuice
461,eraser,before i go to sleep
462,escape from l.a.,before midnight
463,escape from new york,before sunrise
464,escape to witch mountain,before sunset
465,etz hadomim tafus,begin again
466,eve's bayou,beginners
467,even cowgirls get the blues,behind enemy lines
468,"evening star, the",being john malkovich
469,event horizon,being julia
470,everest,bella
471,every other weekend,beloved
472,everyone says i love you,below zero
473,evil dead ii,ben-hur
474,evita,bend it like beckham
475,excess baggage,bending steel
476,executive decision,beneath hill 60
477,exit to eden,beneath the planet of the apes
478,exotica,benji
479,extreme measures,beowulf
480,eye for an eye,bernie
481,"eye of vichy, the",best in show
482,face/off,better luck tomorrow
483,faces,betty fisher et autres histoires
484,fair game,beverly hills chihuahua
485,fairytale: a true story,beverly hills cop
486,faithful,beverly hills cop ii
487,fall,beverly hills cop iii
488,fallen,beyond borders
489,falling in love again,beyond the black rainbow
490,"family thing, a",beyond the lights
491,"fan, the",beyond the mat
492,fantasia,beyond the sea
493,far from home: the adventures of yellow dog,beyond the valley of the dolls
494,farewell my concubine,bicentennial man
495,"farewell to arms, a",bienvenue chez les ch'tis
496,fargo,big
497,farinelli: il castrato,big daddy
498,farmer & chase,big eyes
499,"fast, cheap & out of control",big fat liar
500,faster pussycat! kill! kill!,big fish
501,fatal instinct,big hero 6
502,father of the bride,big miracle
503,father of the bride part ii,big momma's house
504,fathers' day,big momma's house 2
505,faust,"big mommas: like father, like son"
506,fausto,big trouble
507,"favor, the",big trouble in little china
508,fear,bill & ted's bogus journey
509,fear of a black hat,bill & ted's excellent adventure
510,"fear, the",billy elliot
511,fearless,birdman
512,feast of july,birth
513,feeling minnesota,birthday girl
514,female perversions,biutiful
515,field of dreams,bizarre
516,fierce creatures,black christmas
517,"fifth element, the",black hawk down
518,"fille seule, la",black knight
519,fire down below,black mass
520,fire on the mountain,black nativity
521,firestorm,black november
522,"firm, the",black or white
523,first kid,black rain
524,first knight,black rock
525,"first wives club, the",black snake moan
526,"fish called wanda, a",black swan
527,fled,black water transit
528,flesh and bone,blackhat
529,"flintstones, the",blackthorn
530,flipper,blade
531,flirt,blade ii
532,flirting with disaster,blade runner
533,"flower of my secret, the",blade: trinity
534,flubber,blades of glory
535,fluke,blast from the past
536,fly away home,blazing saddles
537,"fog, the",bled
538,fools rush in,bleeding hearts
539,for ever mozart,blended
540,for love or money,bless the child
541,for richer or poorer,blindness
542,for the moment,blonde ambition
543,for whom the bell tolls,blood and chocolate
544,"forbidden christ, the",blood and wine
545,forbidden planet,blood diamond
546,foreign correspondent,blood done sign my name
547,foreign student,blood ties
548,forget paris,blood work
549,forrest gump,bloodrayne
550,four days in september,bloodsport
551,four rooms,bloody sunday
552,four weddings and a funeral,blow
553,"fox and the hound, the",blow out
554,foxfire,blue car
555,frankie starlight,blue crush
556,free willy,blue jasmine
557,free willy 2: the adventure home,blue like jazz
558,free willy 3: the rescue,blue ruin
559,freeway,blue streak
560,french kiss,blue valentine
561,french twist,boat trip
562,fresh,bobby
563,friday,bobby jones: stroke of genius
564,fried green tomatoes,body double
565,"frighteners, the",body of lies
566,frisk,bogus
567,from dusk till dawn,boiler room
568,"fugitive, the",bolt
569,full metal jacket,bon cop bad cop
570,"full monty, the",bon voyage
571,full speed,boogeyman
572,"funeral, the",boogie nights
573,funny face,book of shadows: blair witch 2
574,"further gesture, a",boom town
575,g.i. jane,boomerang
576,gabbeh,borat: cultural learnings of america for make benefit glorious nation of kazakhstan
577,"game, the",born of war
578,gandhi,born on the fourth of july
579,gang related,born to fly: elizabeth streb vs. gravity
580,"garden of finzi-contini, the",bottle rocket
581,gaslight,bottle shock
582,"gate of heavenly peace, the",bound
583,gattaca,bound by honor
584,"gay divorcee, the",bowfinger
585,george of the jungle,bowling for columbine
586,georgia,boyhood
587,germinal,boynton beach club
588,geronimo: an american legend,boys and girls
589,get on the bus,boys don't cry
590,get shorty,boyz n the hood
591,"getaway, the",bran nue dae
592,getting away with murder,brave
593,getting even with dad,brave new girl
594,ghost,braveheart
595,"ghost and mrs. muir, the",brazil
596,"ghost and the darkness, the",breakdown
597,ghost in the shell,breakfast of champions
598,ghosts of mississippi,breakin' all the rules
599,giant,breaking upwards
600,gigi,brick lane
601,gilligan's island: the movie,brick mansions
602,girl 6,bride & prejudice
603,girl in the cadillac,bride of chucky
604,girls town,bride wars
605,"glass shield, the",bridesmaids
606,glengarry glen ross,bridge of spies
607,"glimmer man, the",bridge to terabithia
608,glory,bridget jones's diary
609,go fish,bridget jones: the edge of reason
610,"godfather, the",brigham city
611,"godfather: part ii, the","bright lights, big city"
612,gold diggers: the secret of bear mountain,bright star
613,golden earrings,brighton rock
614,goldeneye,bring it on
615,gone fishin',bringing down the house
616,gone with the wind,bringing out the dead
617,"good man in africa, a",brokeback mountain
618,good morning,brokedown palace
619,good will hunting,broken arrow
620,"good, the bad and the ugly, the",broken city
621,goodfellas,broken horses
622,"goofy movie, a",broken vessels
623,gordy,bronson
624,grace of my heart,brooklyn
625,"graduate, the",brooklyn rules
626,"grand day out, a",brooklyn's finest
627,"grass harp, the",brother
628,grateful dead,brotherly love
629,grease,brothers
630,grease 2,brown sugar
631,"great day in harlem, a",bruce almighty
632,"great dictator, the",brüno
633,"great escape, the",bubba ho-tep
634,great expectations,bubble boy
635,"great race, the",bucky larson: born to be a star
636,"great white hype, the",buffalo '66
637,gridlock'd,buffalo soldiers
638,"grifters, the",bullet to the head
639,grosse fatigue,bulletproof monk
640,grosse pointe blank,bullets over broadway
641,groundhog day,bully
642,grumpier old men,bulworth
643,guantanamera,buried
644,guilty as sin,burlesque
645,gumby: the movie,burn
646,hackers,burn after reading
647,half baked,burnt
648,halloween: the curse of michael myers,but i'm a cheerleader
649,hamlet,butch cassidy and the sundance kid
650,hana-bi,butterfly
651,happy gilmore,butterfly girl
652,hard eight,butterfly on a wheel
653,hard rain,by the sea
654,hard target,c'era una volta il west
655,harlem,c.h.u.d.
656,harold and maude,ca$h
657,harriet the spy,cabin fever
658,hate,caddyshack
659,"haunted world of edward d. wood jr., the",cadillac records
660,he walked by night,call + response
661,head above water,cama adentro
662,hear my song,camping sauvage
663,hearts and minds,can't hardly wait
664,heat,can't stop the music
665,heathers,cape fear
666,heaven & earth,capitalism: a love story
667,heaven's prisoners,capote
668,heavenly creatures,capricorn one
669,heavy,captain america: civil war
670,heavy metal,captain america: the first avenger
671,heavyweights,captain america: the winter soldier
672,hedd wyn,captain corelli's mandolin
673,heidi fleiss: hollywood madam,captain phillips
674,hellraiser: bloodline,captive
675,henry v,caravans
676,herbie rides again,cargo
677,hercules,carlos
678,here comes cookie,carnage
679,hideaway,carrie
680,high noon,carriers
681,high school high,cars
682,higher learning,cars 2
683,highlander,casa de areia
684,highlander iii: the sorcerer,casa de mi padre
685,his girl friday,casablanca
686,hollow reed,case 39
687,homage,casino
688,home alone,casino jack
689,home alone 3,casino royale
690,home for the holidays,casper
691,homeward bound ii: lost in san francisco,cast away
692,homeward bound: the incredible journey,cat on a hot tin roof
693,hoodlum,cat people
694,hoop dreams,catch a fire
695,"horse whisperer, the",catch me if you can
696,"horseman on the roof, the",catch that kid
697,hostile intentions,catch-22
698,hot shots! part deux,cats & dogs
699,hotel de love,cats & dogs 2 : the revenge of kitty galore
700,"hour of the pig, the",cats don't dance
701,house arrest,catwoman
702,"house of the spirits, the",cavite
703,"house of yes, the",cecil b. demented
704,house party 3,cedar rapids
705,houseguest,celebrity
706,how to be a player,celeste & jesse forever
707,how to make an american quilt,cellular
708,"howling, the",censored voices
709,"hudsucker proxy, the",center stage
710,hugo pool,central do brasil
711,"hunchback of notre dame, the",central intelligence
712,"hungarian fairy tale, a",centurion
713,"hunt for red october, the",certifiably jonathan
714,"hunted, the",chacun cherche son chat
715,hurricane streets,chacun sa nuit
716,hush,chain letter
717,i can't sleep,chain of command
718,i don't want to talk about it,chain reaction
719,i know what you did last summer,chairman of the board
720,i like it like that,changeling
721,i love trouble,changing lanes
722,i shot andy warhol,chappie
723,i'll do anything,chariots of fire
724,i'm not rappaport,charlie and the chocolate factory
725,"i, worst of all",charlie bartlett
726,i.q.,charlie st. cloud
727,"ice storm, the",charlie wilson's war
728,if lucy fell,charlie's angels
729,ill gotten gains,charlie's angels: full throttle
730,immortal beloved,charlotte's web
731,in & out,charly
732,in love and war,chasing amy
733,in the army now,chasing liberty
734,in the bleak midwinter,chasing mavericks
735,in the company of men,chasing papi
736,in the line of duty 2,chasseurs de dragons
737,in the line of fire,chats perchés
738,in the mouth of madness,cheap thrills
739,in the name of the father,cheaper by the dozen
740,in the realm of the senses,cheaper by the dozen 2
741,incognito,checkmate
742,independence day,chernobyl diaries
743,"indian in the cupboard, the",chi bi
744,indian summer,chiamatemi francesco - il papa della gente
745,indiana jones and the last crusade,chicago
746,infinity,chicago overcoat
747,"inkwell, the",chicken little
748,"innocent sleep, the",chicken run
749,"innocents, the",chicken tikka masala
750,"inspector general, the",child 44
751,interview with the vampire,child's play
752,intimate relations,child's play 2
753,inventing the abbotts,childless
754,"invitation, the",children of men
755,"island of dr. moreau, the",chill factor
756,it could happen to you,chloe
757,it happened one night,chocolat
758,it takes two,chocolate: deep dark secrets
759,it's a wonderful life,choke
760,it's my party,christmas eve
761,jack,christmas mail
762,jack and sarah,christmas with the kranks
763,"jackal, the",chronicle
764,jackie brown,chuck & buck
765,jackie chan's first strike,chéri
766,jade,cidade de deus
767,james and the giant peach,cinco de mayo: la batalla
768,jane eyre,cinderella
769,jason's lyric,cinderella man
770,jaws,circle
771,jaws 2,circumstance
772,jaws 3-d,cirque du freak: the vampire's assistant
773,jean de florette,cirque du soleil: worlds away
774,jefferson in paris,city by the sea
775,jeffrey,city hall
776,"jerky boys, the",city island
777,jerry maguire,city of angels
778,jimmy hollywood,city of ember
779,jingle all the way,city of ghosts
780,jlg/jlg - autoportrait de décembre,civil brand
781,joe's apartment,clash of the titans
782,johnny 100 pesos,class of 1984
783,johnny mnemonic,clay pigeons
784,johns,clean
785,"journey of august king, the",clear and present danger
786,"joy luck club, the",cleopatra
787,jude,clerks
788,judge dredd,clerks ii
789,judgment night,click
790,jumanji,cliffhanger
791,"jungle book, the",clockstoppers
792,jungle2jungle,clockwatchers
793,junior,close encounters of the third kind
794,jupiter's wife,close range
795,jurassic park,closer
796,"juror, the",closer to the moon
797,jury duty,cloud atlas
798,just cause,cloudy with a chance of meatballs
799,kalifornia,cloudy with a chance of meatballs 2
800,kama sutra: a tale of love,cloverfield
801,kansas city,club dread
802,kaspar hauser,clueless
803,kazaam,coach carter
804,keys to tulsa,coal miner's daughter
805,kicked in the head,coco avant chanel
806,kicking and screaming,code 46
807,"kid in king arthur's court, a",code name: the cleaner
808,kids,code of honor
809,kids in the hall: brain candy,coffee town
810,kika,cold mountain
811,killer,collateral
812,killer: a journal of murder,collateral damage
813,"killing fields, the",college
814,killing zoe,colombiana
815,kim,come early morning
816,king of new york,commando
817,king of the hill,compadres
818,kingpin,compliance
819,"kiss me, guido",con air
820,kiss of death,conan the barbarian
821,kiss the girls,conan the destroyer
822,kissed,concussion
823,kolya,confessions of a dangerous mind
824,koyaanisqatsi,confessions of a teenage drama queen
825,kull the conqueror,confidence
826,kundun,congo
827,l.a. confidential,connie and carla
828,lady of burlesque,conquest of the planet of the apes
829,ladybird ladybird,conspiracy theory
830,lamerica,contact
831,land and freedom,contagion
832,land before time iii: the time of the great giving,containment
833,larger than life,contraband
834,lashou shentan,control
835,lassie,conversations with other women
836,last action hero,cool runnings
837,last dance,cop land
838,"last klezmer: leopold kozlowski, his life and music, the",cop out
839,last man standing,copycat
840,"last of the mohicans, the",copying beethoven
841,last summer in the hamptons,coraline
842,"last supper, the",coriolanus
843,"last time i committed suicide, the",corky romano
844,"last time i saw paris, the",corpse bride
845,late bloomers,cotton comes to harlem
846,laura,counting
847,lawnmower man 2: beyond cyberspace,country strong
848,"lawnmower man, the",couples retreat
849,lawrence of arabia,courage under fire
850,"lay of the land, the",courageous
851,"leading man, the",coyote ugly
852,leave it to beaver,cradle 2 the grave
853,leaving las vegas,cradle will rock
854,legal deceit,crank
855,legends of the fall,crank: high voltage
856,"leopard son, the",crash
857,"letter from death row, a",crazy heart
858,liar liar,crazy in alabama
859,liebelei,"crazy, stupid, love."
860,"life less ordinary, a",crazy/beautiful
861,life with mikey,creative control
862,lightning jack,creature
863,like water for chocolate,creed
864,"line king: al hirschfeld, the",creepshow
865,"lion king, the",creepshow 2
866,little big league,criminal
867,little buddha,criminal activities
868,little city,crimson tide
869,little lord fauntleroy,critical care
870,little odessa,crocodile dundee
871,"little princess, a",crocodile dundee ii
872,"little princess, the",crocodile dundee in los angeles
873,"little rascals, the",crooklyn
874,little women,crossover
875,live nude girls,crossroads
876,living in oblivion,crowsnest
877,loaded,cruel intentions
878,local hero,cry freedom
879,loch ness,cry_wolf
880,"locusts, the",crying with laughter
881,lone star,cube
882,"long kiss goodnight, the",curious george
883,looking for richard,cursed
884,lord of illusions,cutthroat island
885,losing chase,cypher
886,losing isaiah,cyrus
887,lost highway,d-tox
888,lost horizon,d.e.b.s.
889,lost in space,da sweet blood of jesus
890,"lost world: jurassic park, the",dabba
891,lotto land,daddy day camp
892,love & human remains,daddy day care
893,love affair,daddy's home
894,love and a .45,dallas buyers club
895,love and death on long island,damnation alley
896,love and other catastrophes,damsels in distress
897,"love bug, the",dance flick
898,love in the afternoon,dancer in the dark
